year,origin_region,destination_region,value_m_gbp
2022 to 2023,London,North West,7745.4575
2022 to 2023,London,West Midlands,6264.1329
2022 to 2023,London,Scotland,5878.2194
2022 to 2023,London,Yorkshire and The Humber,4769.7678
2022 to 2023,London,Wales,4767.9996
2022 to 2023,London,North East,3796.5848
2022 to 2023,London,East Midlands,3333.9748
2022 to 2023,London,Northern Ireland,3204.8949
2022 to 2023,London,South West,3197.8221
2022 to 2023,South East,North West,2797.4937
2022 to 2023,South East,West Midlands,2262.4709
2022 to 2023,South East,Scotland,2123.0872
2022 to 2023,South East,Yorkshire and The Humber,1722.7382
2022 to 2023,South East,Wales,1722.0995
2022 to 2023,South East,North East,1371.2453
2022 to 2023,South East,East Midlands,1204.1605
2022 to 2023,South East,Northern Ireland,1157.5396
2022 to 2023,South East,South West,1154.985
2022 to 2023,London,East of England,651.1462
2022 to 2023,South East,East of England,235.1801
