year,geography_code,geography_name,metric,amount_m_gbp,source_table
2022 to 2023,K02000001,United Kingdom,total_current_receipts_excl_north_sea_oil_gas,1019353.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000001,North East,total_current_receipts_excl_north_sea_oil_gas,29460.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000002,North West,total_current_receipts_excl_north_sea_oil_gas,95062.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000003,Yorkshire and The Humber,total_current_receipts_excl_north_sea_oil_gas,68494.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000004,East Midlands,total_current_receipts_excl_north_sea_oil_gas,61384.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000005,West Midlands,total_current_receipts_excl_north_sea_oil_gas,71822.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000006,East of England,total_current_receipts_excl_north_sea_oil_gas,96345.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000007,London,total_current_receipts_excl_north_sea_oil_gas,216382.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000008,South East,total_current_receipts_excl_north_sea_oil_gas,164723.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E12000009,South West,total_current_receipts_excl_north_sea_oil_gas,79221.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,E92000001,England,total_current_receipts_excl_north_sea_oil_gas,882893.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,W92000004,Wales,total_current_receipts_excl_north_sea_oil_gas,36132.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,S92000003,Scotland,total_current_receipts_excl_north_sea_oil_gas,78835.0,ONS_CRPSF_Revenue_FYE2023
2022 to 2023,N92000002,Northern Ireland,total_current_receipts_excl_north_sea_oil_gas,21493.0,ONS_CRPSF_Revenue_FYE2023
